Algorithm,E,ARI,F1 Score,DBI,silhouette_score,calinski_harabasz_score,davies_bouldin_score,Time
"KMeansPP(2, euclidean)",304.3971033299589,0.16018937629510724,0.6671956684092606,1.9860126014478237,0.19872038115231644,37.116234979011345,1.9860126014478237,0.005898237228393555
"KMeansPP(2, manhattan)",3057.2630050072985,0.3301953138118294,0.1886855659310749,1.9856674376467256,0.20892615456738461,31.97662757334196,1.9856674376467256,0.0
"KMeansPP(2, clark)",1240.2320432300598,0.3030200808120157,0.19818521031207598,2.149117026248158,0.19050650105015685,30.20293338750218,2.149117026248158,0.003184795379638672
"KMeansPP(2, euclidean)",305.93507687287166,0.16891865714996884,0.2474399717514124,2.0165658142079987,0.1980810677143509,36.16049710656918,2.0165658142079987,0.0009999275207519531
"KMeansPP(2, manhattan)",3009.9866212630186,0.3261081600300073,0.7409563857889914,1.9792281712849953,0.21145455497628954,34.196571363378695,1.9792281712849953,0.0010042190551757812
"KMeansPP(2, clark)",1240.2320432300598,0.3030200808120157,0.19818521031207598,2.149117026248158,0.19050650105015685,30.20293338750218,2.149117026248158,0.002003908157348633
"KMeansPP(2, euclidean)",305.0084294233818,0.23165894259680214,0.7004608294930876,1.9902295198651454,0.20746278697651377,36.7351864439079,1.9902295198651454,0.0011630058288574219
"KMeansPP(2, manhattan)",3004.781110941756,0.35941706991406003,0.7576688770284112,1.9722788003081935,0.21220335337229304,34.38341131717574,1.9722788003081935,0.0009992122650146484
"KMeansPP(2, clark)",1242.2819742662873,0.27690310787266387,0.20837589376915222,2.129193136940277,0.19267692926445396,31.22042314034957,2.129193136940277,0.0019991397857666016
"KMeansPP(4, euclidean)",259.5920863208024,0.09314219587370476,0.2678603973027155,2.2138305408912595,0.1632414643803182,23.005252829785036,2.2138305408912595,0.0010395050048828125
"KMeansPP(4, manhattan)",2248.20574549669,0.25105729008620153,0.07734643153035863,2.0308804365261137,0.18488247009270695,21.478701279924366,2.0308804365261137,0.003159046173095703
"KMeansPP(4, clark)",1406.6337083935996,0.29592044490602637,0.2887687969924812,2.0294616885154833,0.0925813240277212,14.712117160945754,2.0294616885154833,0.004144430160522461
"KMeansPP(4, euclidean)",251.31374772001936,0.10950118457423469,0.22667855020796196,1.9608992536886016,0.1807349345095269,25.421044461834416,1.9608992536886016,0.0020618438720703125
"KMeansPP(4, manhattan)",2204.662876833312,0.23755373645037423,0.06112676056338028,1.999122027976553,0.18282709845775919,22.51359229827697,1.999122027976553,0.002083301544189453
"KMeansPP(4, clark)",1126.3063172286352,0.0992230100193778,0.2078682651233292,2.7678517283230284,0.06554459521299,18.37488473992607,2.7678517283230284,0.005156040191650391
"KMeansPP(4, euclidean)",256.3471093164539,0.14554987644018855,0.15366165653981453,2.097731158711208,0.18412976043294638,23.933611360003407,2.097731158711208,0.003118753433227539
"KMeansPP(4, manhattan)",2298.689684829499,0.30030082138744923,0.23532010603261305,2.182091069423209,0.18476325792091403,20.920373701983426,2.182091069423209,0.0020003318786621094
"KMeansPP(4, clark)",1454.191719973035,0.16452371057297016,0.031914893617021274,2.1504689479870303,0.14042679647403591,13.53811235357383,2.1504689479870303,0.0051233768463134766
"KMeansPP(6, euclidean)",233.0008139631775,0.06773518062099684,0.09105476104634859,2.1814284688163763,0.1294278622868428,18.57568363577362,2.1814284688163763,0.00616455078125
"KMeansPP(6, manhattan)",1798.9724775644984,0.192777788741953,0.08592592592592592,1.8157033885912732,0.18556433684810295,18.416372607482394,1.8157033885912732,0.0029997825622558594
"KMeansPP(6, clark)",1376.8257987030229,0.19684768835583663,0.06666666666666667,2.223425533989057,0.12702788108988422,12.805485581118232,2.223425533989057,0.005120515823364258
"KMeansPP(6, euclidean)",222.0811519118276,0.08526466327661994,0.03996549741230592,1.8932157279117432,0.17410566028583632,20.954301146796777,1.8932157279117432,0.002156972885131836
"KMeansPP(6, manhattan)",1685.477906761632,0.10311836506370865,0.0394330946976311,1.866679033372461,0.16489889612542533,20.757963307702322,1.866679033372461,0.006104707717895508
"KMeansPP(6, clark)",1283.4931836498772,0.2728229044338211,0.08446255731023944,2.363020749577186,0.17357992153393118,21.748024112541938,2.363020749577186,0.008230447769165039
"KMeansPP(6, euclidean)",230.46758748553788,0.09092202648352193,0.03262786596119929,2.09898411709316,0.17917075371541336,19.10741377621148,2.09898411709316,0.007263898849487305
"KMeansPP(6, manhattan)",1770.1534185197193,0.12481438768709084,0.021825231962332086,1.9654761014120183,0.15669073757481836,19.42445328776432,1.9654761014120183,0.009242773056030273
"KMeansPP(6, clark)",1078.334377617133,0.2453617742758652,0.12980769230769232,2.411900138346577,0.006539634952937949,12.917503953188362,2.411900138346577,0.009130001068115234
"KMeansPP(8, euclidean)",216.27063643299152,0.11441083617971039,0.024544118917984616,1.9356881998197761,0.1693275073995851,15.727386560618823,1.9356881998197761,0.009250164031982422
"KMeansPP(8, manhattan)",1584.516619184047,0.18629865746564694,0.026348039215686275,1.9122417549479023,0.16569649825165128,15.399297809890923,1.9122417549479023,0.005140066146850586
"KMeansPP(8, clark)",944.5244119927835,0.08660213505047641,0.031746031746031744,2.5650188624104024,0.08141887360772408,15.992022293127674,2.5650188624104024,0.009938240051269531
"KMeansPP(8, euclidean)",200.99084948158463,0.07168274991102709,0.04695248760198368,1.841735914567504,0.17205265324397498,18.51948701382695,1.841735914567504,0.00613713264465332
"KMeansPP(8, manhattan)",1508.6105855845037,0.13685501521211246,0.008622903115371448,1.7658918467551155,0.18024305213821623,16.767832741815365,1.7658918467551155,0.010343074798583984
"KMeansPP(8, clark)",1105.4177633968345,0.2353773701715511,0.013186813186813187,2.1541563317505967,0.15847838517256752,14.836762156573402,2.1541563317505967,0.012267827987670898
"KMeansPP(8, euclidean)",201.9308777498606,0.0709683647682947,0.0370299063021435,1.8395092989713748,0.17568970932676342,18.335515967126597,1.8395092989713748,0.010248661041259766
"KMeansPP(8, manhattan)",1450.8193859448031,0.11420254721375202,0.038318824033109745,1.8511344370831644,0.17415718564389837,17.989866668791315,1.8511344370831644,0.007154941558837891
"KMeansPP(8, clark)",934.5510490913532,0.09546362386310984,0.08382066276803118,2.626290917531827,0.08005426835790776,15.98445731971644,2.626290917531827,0.010625123977661133
